Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2025-08-08T19:05:39+10:00,2025-08-08T08:32:31+10:00,7245,Unoccupied,25007,"-37.809406731091684, 144.97377186435529"
2025-08-08T19:05:39+10:00,2025-08-08T19:04:13+10:00,7642,Unoccupied,58210,"-37.81637336452581, 144.95304491722038"
2025-08-08T19:05:39+10:00,2025-08-08T19:04:28+10:00,7646,Unoccupied,58118,"-37.81739501171731, 144.95351225867483"
2025-08-08T19:05:39+10:00,2025-08-08T18:29:00+10:00,7646,Unoccupied,58120,"-37.81729431696377, 144.95346589250374"
2025-08-08T19:05:39+10:00,2025-08-08T17:37:25+10:00,7646,Unoccupied,58119,"-37.81734412452362, 144.9534887894613"
2025-08-08T19:05:39+10:00,2025-08-08T15:39:29+10:00,7241,Unoccupied,7500,"-37.809655479639915, 144.97728598796425"
2025-08-08T19:05:39+10:00,2025-08-08T16:49:03+10:00,7239,Unoccupied,7879,"-37.81014496183654, 144.98046793461356"
2025-08-08T19:05:39+10:00,2025-08-08T17:01:56+10:00,7239,Unoccupied,7865,"-37.81004133865092, 144.9795247962354"
2025-08-08T19:05:39+10:00,2025-08-08T15:11:20+10:00,7239,Unoccupied,7858,"-37.80998955218696, 144.97905432038945"
2025-08-08T19:05:39+10:00,2025-08-08T15:25:59+10:00,7239,Unoccupied,7878,"-37.81013766725299, 144.98040223420435"
2025-08-08T19:05:39+10:00,2025-08-08T16:32:29+10:00,7239,Unoccupied,7881,"-37.81015925751431, 144.98059660544698"
2025-08-08T19:05:39+10:00,2025-08-08T18:46:57+10:00,7237,Unoccupied,16425,"-37.810096455069626, 144.98135251608676"
2025-08-08T19:05:39+10:00,2025-08-08T14:48:27+10:00,7237,Unoccupied,16436,"-37.81014861994468, 144.98182133513234"
2025-08-08T19:05:39+10:00,2025-08-08T14:15:00+10:00,7237,Unoccupied,16427,"-37.81008145056822, 144.98121755605683"
2025-08-08T19:05:39+10:00,2025-08-08T13:34:28+10:00,7234,Unoccupied,16433,"-37.8101711258021, 144.98202377135044"
2025-08-08T19:05:39+10:00,2024-11-03T18:12:12+11:00,7246,Unoccupied,17550,"-37.81100711352086, 144.9880691171183"
2025-08-08T19:05:39+10:00,2024-11-03T19:34:38+11:00,7243,Unoccupied,20632,"-37.810946413437264, 144.98357746093495"
2025-08-08T19:05:39+10:00,2024-11-03T19:31:15+11:00,7243,Unoccupied,20636,"-37.81072485680764, 144.98361406645805"
2025-08-08T19:05:39+10:00,2024-11-03T22:16:54+11:00,7250,Unoccupied,25124,"-37.81114814491778, 144.98330307810838"
2025-08-08T19:05:39+10:00,2024-11-03T22:15:42+11:00,7250,Unoccupied,25121,"-37.811307735286704, 144.98327682946746"
2025-08-08T19:05:39+10:00,2024-11-03T21:40:04+11:00,7250,Unoccupied,25120,"-37.81136809743835, 144.9832669087227"
2025-08-08T19:05:39+10:00,2024-11-03T22:22:48+11:00,7250,Unoccupied,25115,"-37.811948524327406, 144.98316853256844"
2025-08-08T19:05:39+10:00,2024-11-03T19:22:49+11:00,7250,Unoccupied,25111,"-37.812154855912276, 144.98313424542192"
2025-08-08T19:05:39+10:00,2024-11-03T22:38:15+11:00,7250,Unoccupied,25105,"-37.81246660354286, 144.98308267773297"
2025-08-08T19:05:39+10:00,2024-11-03T22:38:24+11:00,7250,Unoccupied,25103,"-37.81257027579838, 144.9830656005944"
2025-08-08T19:05:39+10:00,2024-11-03T21:56:07+11:00,7250,Unoccupied,25095,"-37.813084401659935, 144.98297926102595"
2025-08-08T19:05:39+10:00,2024-11-03T22:08:55+11:00,7250,Unoccupied,25094,"-37.813136067545116, 144.9829703911222"
2025-08-08T19:05:39+10:00,2024-11-03T21:05:42+11:00,7250,Unoccupied,25092,"-37.81323915515529, 144.98295281778047"
2025-08-08T19:05:39+10:00,2024-11-03T18:31:32+11:00,7250,Unoccupied,25091,"-37.81329045746279, 144.98294407277865"
